Airline name ,Travel Time,Number of Stoppage(s),Ticket price(Dollar),Departure Airport,Departure Time,1st Stoppage Waiting Time,1st Stoppage,2nd Stoppage Waiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
Emirates,51:15:00,2,1156.0,DAC,01:40:00,11h 15m,DXB,19h 40m,MXP,,,JFK,18:55:00,04-08
Emirates,57:25:00,2,1156.0,DAC,19:30:00,17h 15m,DXB,19h 40m,MXP,,,JFK,18:55:00,04-09
Turkish,26:5:00,1,1175.0,DAC,06:35:00,6h 20m,IST,,,,,EWR,22:40:00,
Kuwait,21:15:00,1,1264.0,DAC,03:10:00,2h 10m,KWI,,,,,JFK,14:25:00,
Etihad,22:35:00,1,1283.0,DAC,20:55:00,3h 0m,AUH,,,,,JFK,09:30:00,04-08
Turkish,21:15:00,1,1297.0,DAC,06:35:00,1h 50m,IST,,,,,JFK,17:50:00,
Emirates,27:15:00,1,1313.0,DAC,01:40:00,5h 15m,DXB,,,,,JFK,18:55:00,04-08
Emirates,35:50:00,1,1313.0,DAC,19:30:00,12h 20m,DXB,,,,,EWR,21:20:00,
Multiple,27:15:00,1,1376.0,DAC,05:30:00,7h 30m,DOH,,,,,JFK,22:45:00,
Qatar,27:0:00,1,1431.0,DAC,05:30:00,7h 5m,DOH,,,,,JFK,22:30:00,04-08
Qatar,43:50:00,1,1435.0,DAC,05:30:00,23h 55m,DOH,,,,,JFK,15:20:00,04-08
Turkish,38:45:00,1,1441.0,DAC,06:35:00,19h 20m,IST,,,,,JFK,11:20:00,
Emirates,22:45:00,1,1448.0,DAC,01:40:00,4h 0m,DXB,,,,,JFK,14:25:00,04-08
British,27:35:00,2,1456.0,DAC,20:15:00,2h 10m,DOH,4h 35m,LHR,,,EWR,13:50:00,04-08
British,27:35:00,2,1456.0,DAC,20:15:00,2h 45m,DOH,4h 0m,LHR,,,EWR,13:50:00,04-08
British,34:15:00,2,1456.0,DAC,10:50:00,11h 35m,DOH,2h 0m,LHR,,,JFK,11:05:00,04-08
British,34:15:00,2,1456.0,DAC,10:50:00,1h 35m,DOH,12h 0m,LHR,,,JFK,11:05:00,04-08
British,35:45:00,2,1456.0,DAC,10:50:00,11h 35m,DOH,3h 25m,LHR,,,JFK,12:35:00,04-08
British,35:45:00,2,1456.0,DAC,10:50:00,1h 35m,DOH,13h 25m,LHR,,,JFK,12:35:00,04-08
British,36:40:00,2,1456.0,DAC,10:50:00,11h 35m,DOH,4h 5m,LHR,,,JFK,13:30:00,04-08
British,37:0:00,2,1456.0,DAC,10:50:00,11h 35m,DOH,4h 35m,LHR,,,EWR,13:50:00,04-08
Emirates,28:55:00,1,1458.0,DAC,19:30:00,10h 0m,DXB,,,,,JFK,14:25:00,
Emirates,29:40:00,1,1458.0,DAC,01:40:00,6h 20m,DXB,,,,,EWR,21:20:00,04-08
Emirates,33:25:00,1,1458.0,DAC,19:30:00,11h 15m,DXB,,,,,JFK,18:55:00,04-08
